message,hour,emoji_1,emoji_2,emoji_3,emoji_4,total
"Um beijo pra minha mãe, pro meu pai e especialmente pra vocês porque hoje também tem a estreia de Xuxa, o Documentário, na minha telinha",14:14,❤,👍,🖕,😂,193
Preparados para dar aquela espiadinha,11:45,❤,👍,😮,👎,1109
Veeem pra ser feliz,22:33,❤,👍,🤮,👏,1295
Quem você quer ver no BBB 24,21:51,❤,👍,😂,😮,448
"Neste domingo, em Temperatura Máxima e Campeões de Bilheteria, eu exibo esses dois filmes",12:07,❤,👍,😂,🖕,1849
Olhem só pra esse elenco,18:05,❤,👍,😮,😂,1343
O Altas Horas de hoje celebra a música romântica brasileira com as presenças de Fábio Jr,15:13,❤,😍,👍,😂,1242
Anely e Natercinho se casam hoje em Terra e Paixão,12:34,❤,😂,👍,😮,1027
PIPOCA: Lucas Luigi é do Rio de Janeiro e ama curtir a família,21:53,❤,😂,👍,😮,1692
